iter	Logloss
0	0.5761945023
1	0.5361232745
2	0.5192838515
3	0.5119957883
4	0.5052720621
5	0.5025992936
6	0.4967084806
7	0.4961396192
8	0.4946159874
9	0.490527254
10	0.4856967337
11	0.4811408415
12	0.4785347461
13	0.4754085729
14	0.4738228401
15	0.4722994792
16	0.4700995827
17	0.4662674547
18	0.46424404
19	0.4617820328
20	0.4602897313
21	0.4582463803
22	0.4560105338
23	0.4544562215
24	0.4530168015
25	0.4506782266
26	0.4474900401
27	0.4444300785
28	0.4421354541
29	0.4395531548
30	0.4372084879
31	0.4356563074
32	0.4326658105
33	0.4314938758
34	0.4295982797
35	0.4290834762
36	0.427277617
37	0.4242675626
38	0.4225044802
39	0.420034618
40	0.418470562
41	0.4173070518
42	0.4161952192
43	0.4149037549
44	0.4134372884
45	0.4111756971
46	0.4100035292
47	0.4081951319
48	0.4065847152
49	0.405757899
50	0.4044044665
51	0.4030711809
52	0.4016310913
53	0.3995669488
54	0.3988041699
55	0.3973337634
56	0.3965531474
57	0.3961105071
58	0.3946919538
59	0.3931068832
60	0.3924060573
61	0.391406406
62	0.3894627713
63	0.3879621958
64	0.3870301582
65	0.3861439647
66	0.3855601053
67	0.3847100197
68	0.383383591
69	0.3819876075
70	0.3810124219
71	0.3804575251
72	0.3791558355
73	0.3773394728
74	0.3766842653
75	0.3761493023
76	0.3742786962
77	0.3734034702
78	0.3722837775
79	0.3715101138
80	0.3700537722
81	0.3684337649
82	0.3678991254
83	0.3665106709
84	0.3659162528
85	0.3653543586
86	0.3645800428
87	0.3639973045
88	0.3630669799
89	0.3620500483
90	0.3609418574
91	0.3601531431
92	0.3597911431
93	0.3591634636
94	0.3588986293
95	0.3582157007
96	0.3580019096
97	0.3569141089
98	0.3561474426
99	0.3557483741
100	0.355347723
101	0.3550643369
102	0.3542604967
103	0.3532717678
104	0.352337819
105	0.3515805778
106	0.3503263048
107	0.349483342
108	0.3488780692
109	0.3481708755
110	0.3474260891
111	0.3471344315
112	0.3465752461
113	0.345315626
114	0.3445504519
115	0.3443659896
116	0.3440656894
117	0.3432162132
118	0.3427696955
119	0.3422831674
120	0.3420371809
121	0.3410671668
122	0.3404966626
123	0.339963854
124	0.3391002953
125	0.3387387117
126	0.3382769778
127	0.3380345652
128	0.3375018168
129	0.3370438124
130	0.336700452
131	0.3363840503
132	0.3360916078
133	0.3356802424
134	0.335109811
135	0.3344101088
136	0.3338423233
137	0.3336559148
138	0.3332348033
139	0.3330679874
140	0.3325386624
141	0.3317485486
142	0.3311464083
143	0.3303138964
144	0.3298081317
145	0.3296352088
146	0.3294211343
147	0.3287718081
148	0.3284985017
149	0.3277450827
150	0.3271571278
151	0.3265509345
152	0.3260333646
153	0.3256404533
154	0.325329168
155	0.3249944076
156	0.3245739031
157	0.3242188378
158	0.3236982006
159	0.3234018806
160	0.3229828709
161	0.3226125217
162	0.322214815
163	0.3219328384
164	0.3217081977
165	0.3210231197
166	0.3207759594
167	0.3200905654
168	0.3196004157
169	0.3191922782
170	0.3190025214
171	0.3188223278
172	0.3187132214
173	0.3184860224
174	0.3183709796
175	0.3180611464
176	0.3176632467
177	0.3172381449
178	0.3170275792
179	0.3167011103
180	0.3165764893
181	0.3160656058
182	0.3159496099
183	0.3157188872
184	0.3154781299
185	0.315292559
186	0.3149988926
187	0.3146954799
188	0.3143340041
189	0.3141959126
190	0.3140576079
191	0.3138744246
192	0.3133862663
193	0.3133168042
194	0.3127294838
195	0.3124389674
196	0.311935648
197	0.3118533699
198	0.3117096354
199	0.3113420651
200	0.3110544956
201	0.3108272791
202	0.3106737632
203	0.310440525
204	0.3099442532
205	0.309632085
206	0.3093330664
207	0.3088189977
208	0.3083774108
209	0.3082746171
210	0.3080914063
211	0.3076969174
212	0.3072530081
213	0.3066681731
214	0.3065146723
215	0.306315197
216	0.3056751479
217	0.3055039681
218	0.3053415789
219	0.3048011684
220	0.3045790181
221	0.3042383238
222	0.3036615696
223	0.3034053028
224	0.3030542127
225	0.3028636157
226	0.302667145
227	0.3024377541
228	0.302347804
229	0.3022534849
230	0.3020246833
231	0.3016542263
232	0.301441002
233	0.3011274068
234	0.3007849694
235	0.3005159342
236	0.3003966177
237	0.3002843286
238	0.3001146987
239	0.2998240845
240	0.2997231192
241	0.2992690774
242	0.2992501971
243	0.2990984619
244	0.2989307506
245	0.2984799016
246	0.2982169734
247	0.2981050856
248	0.2977077201
249	0.29742308
250	0.2970922547
251	0.2967954983
252	0.2965773332
253	0.2964980472
254	0.2961713702
255	0.2959599467
256	0.2953736269
257	0.2951155568
258	0.2950282928
259	0.2948342197
260	0.2944689832
261	0.2943092462
262	0.2940278828
263	0.2939322532
264	0.2939280373
265	0.293852961
266	0.2935070738
267	0.29338627
268	0.2932502852
269	0.2931344222
270	0.2929807057
271	0.2928153194
272	0.2927032611
273	0.2925958502
274	0.2922084716
275	0.2920896592
276	0.2920080771
277	0.2916937019
278	0.2914597488
279	0.2911464546
280	0.2907012147
281	0.2905643584
282	0.2899463185
283	0.2898300555
284	0.2896372076
285	0.2894290533
286	0.2892290124
287	0.2890686848
288	0.2888541664
289	0.2884352782
290	0.2883138262
291	0.2881064606
292	0.2879239006
293	0.2875736269
294	0.2874080638
295	0.2872158968
296	0.2871291583
297	0.2870139812
298	0.2866857931
