iter	RMSE
593	2836.667374
594	2836.036563
595	2834.984739
596	2834.244301
597	2833.598991
598	2832.79656
599	2832.118444
600	2830.813854
601	2829.439321
602	2828.243964
603	2827.172286
604	2826.721131
605	2825.450937
606	2824.838123
607	2823.900673
608	2823.150112
609	2822.256653
610	2821.565482
611	2820.65735
612	2819.581393
613	2818.699725
614	2817.815438
615	2816.783294
616	2815.597165
617	2814.323103
618	2813.465959
619	2812.25357
620	2811.025626
621	2810.364508
622	2809.646624
623	2808.890677
624	2807.405124
625	2806.67876
626	2805.705351
627	2804.730943
628	2803.573714
629	2802.587182
630	2801.503743
631	2800.462686
632	2799.584153
633	2798.858397
634	2798.309641
635	2797.539839
636	2796.687368
637	2795.964733
638	2795.387181
639	2794.73964
640	2793.494165
641	2792.431242
642	2791.538705
643	2790.632158
644	2789.7834
645	2789.196171
646	2788.578968
647	2787.722777
648	2786.899592
649	2786.361922
650	2785.693884
651	2784.555944
652	2783.559126
653	2782.564856
654	2781.664427
655	2780.664741
656	2779.98646
657	2779.211018
658	2777.993524
659	2776.87651
660	2775.815857
661	2775.112068
662	2773.990589
663	2773.414319
664	2772.780987
665	2772.093205
666	2771.088898
667	2770.169274
668	2768.448581
669	2767.875733
670	2766.775722
671	2766.338064
672	2765.533417
673	2763.655365
674	2762.871663
675	2762.054897
676	2760.982907
677	2760.089436
678	2759.3117
679	2758.492428
680	2757.817919
681	2757.05884
682	2756.470505
683	2755.455876
684	2754.697587
685	2753.849272
686	2753.275063
687	2752.587747
688	2751.663403
689	2750.746375
690	2749.908766
691	2749.33273
692	2748.70762
693	2748.030436
694	2747.003176
695	2746.304828
696	2745.560462
697	2744.831174
698	2743.898507
699	2742.757552
700	2742.257674
701	2741.3069
702	2740.644699
703	2739.907167
704	2739.399363
705	2739.008806
706	2737.930743
707	2737.089302
708	2736.350544
709	2735.307003
710	2734.596563
711	2733.852092
712	2733.230598
713	2732.576403
714	2732.082127
715	2731.31909
716	2730.240649
717	2728.814524
718	2728.214111
719	2727.224156
720	2726.268044
721	2724.703919
722	2724.048187
723	2722.805928
724	2721.875948
725	2721.073993
726	2720.421771
727	2719.627879
728	2718.997077
729	2718.154591
730	2717.244508
731	2716.373135
732	2715.523636
733	2714.425251
734	2713.624947
735	2712.322805
736	2711.88591
737	2710.984633
738	2710.174863
739	2709.428138
740	2708.75288
741	2707.94057
742	2707.33594
743	2706.571882
744	2705.981087
745	2705.03871
746	2704.599655
747	2704.15915
748	2703.398976
749	2702.466973
750	2701.280794
751	2700.667854
752	2699.495243
753	2699.168107
754	2698.730228
755	2698.295245
756	2697.531338
757	2696.975715
758	2696.445525
759	2695.808955
760	2695.287678
761	2694.909618
762	2694.265563
763	2693.481991
764	2692.786078
765	2692.010844
766	2691.159911
767	2690.163545
768	2689.576001
769	2689.440094
770	2688.481873
771	2687.721569
772	2687.093049
773	2686.418654
774	2685.690264
775	2684.905537
776	2683.550715
777	2682.947834
778	2682.150436
779	2680.789894
780	2680.243677
781	2679.609872
782	2679.267369
783	2678.434016
784	2677.442415
785	2676.582166
786	2675.960554
787	2675.407888
788	2674.799456
789	2674.308912
790	2673.36508
791	2672.453294
792	2671.359719
793	2670.709732
794	2669.94975
795	2669.527242
796	2669.099541
797	2668.168434
798	2667.358936
799	2666.869538
800	2666.229156
801	2665.743784
802	2664.497176
803	2663.700962
804	2663.214278
805	2662.559161
806	2662.032315
807	2661.663404
808	2661.178014
809	2660.572613
810	2659.669356
811	2659.261198
812	2658.545711
813	2657.906266
814	2657.146807
815	2656.492041
816	2655.76185
817	2654.822311
818	2654.029493
819	2653.888547
820	2653.170218
821	2652.409243
822	2651.336338
823	2650.986698
824	2650.238215
825	2649.093989
826	2648.225578
827	2647.702521
828	2646.529546
829	2645.776981
830	2645.172645
831	2644.772099
832	2643.705092
833	2643.060127
834	2642.055602
835	2641.65997
836	2640.916658
837	2640.474225
838	2639.754565
839	2638.904886
840	2638.314053
841	2637.981116
842	2637.172132
843	2636.69072
844	2636.198481
845	2635.321275
846	2634.980063
847	2634.348778
848	2633.797696
849	2633.132441
850	2632.69068
851	2632.225382
852	2631.621301
853	2631.199207
854	2630.810837
855	2630.364687
856	2629.997099
857	2629.221589
858	2628.570448
859	2628.024274
860	2627.481368
861	2626.449655
862	2625.385676
863	2624.2179
864	2623.732849
865	2623.344174
866	2622.951282
867	2622.309318
868	2621.68232
869	2621.206695
870	2620.641616
871	2620.082441
872	2619.605168
873	2619.089998
874	2618.670012
875	2618.119644
876	2617.591918
877	2617.112757
878	2616.574672
879	2615.992198
880	2615.498715
881	2614.716087
882	2614.222553
883	2613.509214
884	2613.045577
885	2612.125814
886	2611.665675
887	2611.347959
888	2610.372074
889	2609.619718
890	2608.753019
891	2608.221273
892	2607.341145
893	2606.43615
894	2605.997209
895	2605.278062
896	2604.79213
897	2604.082229
898	2603.432369
899	2603.113221
900	2602.716351
901	2602.267114
902	2601.847856
903	2601.371232
904	2600.296047
905	2599.756177
906	2598.70079
907	2597.933223
908	2597.638678
909	2597.065218
910	2596.316531
911	2595.74185
912	2595.15322
913	2594.685474
914	2593.93883
915	2593.558072
916	2593.024362
917	2592.333469
918	2591.836504
919	2591.009183
920	2590.376081
921	2589.685702
922	2589.403577
923	2588.853866
924	2588.381566
925	2587.706245
926	2587.034266
927	2586.822235
928	2586.180295
929	2585.544342
930	2584.995017
931	2584.010229
932	2583.311466
933	2582.678537
934	2582.094554
935	2581.691257
936	2581.353893
937	2580.733727
938	2579.948126
939	2579.162988
940	2578.435961
941	2577.942194
942	2577.613593
943	2577.08778
944	2576.360758
945	2575.823599
946	2574.963831
947	2574.689136
948	2573.263607
949	2572.547045
950	2571.889067
951	2571.401589
952	2570.858003
953	2570.303881
954	2569.967187
955	2569.565761
956	2568.921528
957	2568.420953
958	2567.819925
959	2567.413974
960	2566.628209
961	2565.720237
962	2565.041494
963	2564.373189
964	2563.749743
965	2563.321847
966	2562.681838
967	2562.175046
968	2561.575688
969	2561.144873
970	2560.913035
971	2560.272692
972	2559.858234
973	2559.465359
974	2558.711486
975	2557.914266
976	2557.484645
977	2556.448891
978	2555.740434
979	2555.352471
980	2554.531205
981	2553.788998
982	2553.423388
983	2552.846795
984	2552.512658
985	2551.687438
986	2551.308143
987	2550.916239
988	2550.533423
989	2549.838382
990	2548.810869
991	2548.412915
992	2547.972833
993	2547.4541
994	2546.995595
995	2545.877299
996	2545.183216
997	2544.728558
998	2543.943387
999	2543.467249
